,threshold,tss value
0,0,669429687.0321574
1,1,653067215.1589371
2,2,637763469.1480703
3,3,623904665.6804538
4,4,607868998.909719
5,5,590342810.3400828
6,6,573550407.1027656
7,7,553724875.6639383
8,8,533680225.0552667
9,9,511186720.43017095
10,10,489411741.3984742
11,11,466991849.6878483
12,12,445565262.88590807
13,13,423497862.0005771
14,14,401766363.5618859
15,15,380957010.1333273
16,16,361405908.6960863
17,17,340727427.2366545
18,18,319825114.8391036
19,19,300544634.3237104
20,20,283848932.4099492
21,21,266476890.7459518
22,22,250915531.86177233
23,23,237424433.24936748
24,24,224154064.49871564
25,25,212780131.40853474
26,26,202659666.3303894
27,27,193875266.96079132
28,28,186449840.04753733
29,29,178320728.44089857
30,30,172097353.84042034
31,31,166537271.43826216
32,32,161446598.91375864
33,33,156404009.7604108
34,34,152287950.43579882
35,35,148709670.00866017
36,36,144768021.267
37,37,141178564.66691297
38,38,137909608.67735386
39,39,135233905.93417773
40,40,132590564.47903386
41,41,130739293.80371878
42,42,129046893.23073344
43,43,127482378.66278715
44,44,125677003.89192706
45,45,124023755.89604944
46,46,122392721.78128372
47,47,120934411.0965695
48,48,119719452.0335558
49,49,118668633.16278048
50,50,117705536.08667485
51,51,116543547.69944642
52,52,115702160.18205544
53,53,114782185.7123818
54,54,113966984.87679817
55,55,113009007.26865534
56,56,112394867.10715714
57,57,111489688.43234728
58,58,110662751.59262763
59,59,109933208.74920523
60,60,109236878.42109412
61,61,108834365.65984772
62,62,108261903.77632895
63,63,107757989.37891856
64,64,107092632.38355768
65,65,106570212.42444764
66,66,106058163.73681211
67,67,105610072.12838268
68,68,105030835.89748682
69,69,104497727.57384117
70,70,103992716.65806644
71,71,103597368.42545065
72,72,103259214.4002619
73,73,102818781.2549769
74,74,102311602.68270196
75,75,101936192.02602424
76,76,101511535.87029599
77,77,100983114.53374307
78,78,100676430.73075955
79,79,100378138.74160866
80,80,100127461.7718067
81,81,99717231.90258051
82,82,99505076.4876624
83,83,99251133.92333841
84,84,98864175.82182953
85,85,98522830.52436104
86,86,98269356.3035381
87,87,97981832.75922677
88,88,97745084.47518176
89,89,97556442.29381704
90,90,97298421.05787031
91,91,97031572.3894445
92,92,96748541.64270292
93,93,96527654.41210766
94,94,96267533.54900666
95,95,96080711.65122448
96,96,95932349.07829423
97,97,95727949.8938983
98,98,95547029.87416726
99,99,95268165.85083298
100,100,95075629.3284055
101,101,94900373.74750571
102,102,94736042.19603007
103,103,94612205.69460025
104,104,94492849.13856247
105,105,94365795.66712038
106,106,94229783.28374214
107,107,94088055.29585195
108,108,93931039.50696854
109,109,93792674.19687846
110,110,93667694.29591466
111,111,93582959.87125608
112,112,93502296.69676588
113,113,93428141.3357627
114,114,93365888.03880005
115,115,93297281.79739386
116,116,93257246.44712162
117,117,93233613.7629749
118,118,93231483.3539989
119,119,93259707.44889744
120,120,93294616.89955938
121,121,93371180.8486842
122,122,93460270.45182878
123,123,93597763.96288678
124,124,93725478.5523357
125,125,93919817.5208259
126,126,94140009.58048171
127,127,94370135.76661953
128,128,94682447.23802069
129,129,95010545.06606972
130,130,95422766.53625974
131,131,95843513.39094317
132,132,96273892.32145618
133,133,96837568.67459461
134,134,97371635.23570389
135,135,97931581.87480065
136,136,98548114.85242559
137,137,99246458.66516118
138,138,99915933.74586554
139,139,100748765.19830815
140,140,101651073.02853972
141,141,102649599.79438344
142,142,103692544.46407102
143,143,104950388.50222212
144,144,105909309.99090979
145,145,106983585.62555362
146,146,108409459.08890724
147,147,109533729.83711094
148,148,110859609.69656381
149,149,112326561.00741448
150,150,113964649.9936266
151,151,115615474.78198057
152,152,117436633.53411458
153,153,119297392.1200034
154,154,121298541.55946204
155,155,123090762.70975794
156,156,125234538.19912529
157,157,127332636.24095178
158,158,129476243.40454328
159,159,131850019.60607928
160,160,134192746.40440775
161,161,136870268.4381395
162,162,139338865.80506337
163,163,141886753.6168006
164,164,144455837.70826554
165,165,147169305.831127
166,166,150158405.48560268
167,167,152818900.23732597
168,168,155303205.86466813
169,169,158284114.9069447
170,170,161128342.54275003
171,171,164099767.99411854
172,172,167213794.9851387
173,173,170275107.33784807
174,174,173451663.67431423
175,175,176526598.28922546
176,176,179712589.5492553
177,177,183052907.20220613
178,178,186262904.2497125
179,179,189483229.52113813
180,180,192796534.81954807
181,181,196457742.38450018
182,182,199934171.98137814
183,183,203800552.73273817
184,184,207702028.93600646
185,185,211493001.60441875
186,186,215468834.6722451
187,187,220059862.77230325
188,188,224356751.94579962
189,189,229151957.51552895
190,190,233877847.24454138
191,191,239036785.7780494
192,192,244193886.98296434
193,193,249432884.57738417
194,194,254589360.47938734
195,195,260152844.84440517
196,196,265855657.32316813
197,197,271981895.1674096
198,198,277590127.9715918
199,199,284036900.1729931
200,200,291163906.56800467
201,201,298235414.4193354
202,202,306700685.08407956
203,203,315127676.6767269
204,204,324159867.31666756
205,205,333536782.4698359
206,206,342735274.3146632
207,207,351887249.4024176
208,208,360429295.8503136
209,209,368646706.0301081
210,210,376303912.85489565
211,211,383962067.3267448
212,212,392052201.54964095
213,213,400633101.0383287
214,214,408752548.0089012
215,215,417025396.61497486
216,216,425344948.0577205
217,217,434065633.274243
218,218,442183054.7596289
219,219,451238000.1434959
220,220,459858130.37672794
221,221,467831070.37781334
222,222,475668146.6461059
223,223,483100399.0970693
224,224,489813587.96260446
225,225,496354083.26820385
226,226,502289176.0856948
227,227,508197414.54183334
228,228,514388111.3710972
229,229,520442114.121052
230,230,526760922.5141767
231,231,533065114.78364503
232,232,540133794.6003491
233,233,546780204.3169956
234,234,554312376.6511451
235,235,561801920.0346122
236,236,569427007.3484257
237,237,576893681.7963798
238,238,584985199.8108666
239,239,593069180.2853147
240,240,601266120.7553741
241,241,609442415.1793425
242,242,617580294.7501013
243,243,625705275.901312
244,244,633380210.1235619
245,245,640522468.1303104
246,246,647011013.9170622
247,247,653375049.5753405
248,248,659189782.7062229
249,249,664307067.2192181
250,250,668522993.5315833
251,251,671690693.3149701
252,252,674248043.1608093
253,253,676268514.5862862
254,254,677239256.115458
255,255,677243572.5762575
